ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,score
ACMESOLAR.NS,2025-09-12,2025-09-23,315.22,283.7,126,-3971.8,-10.0,stop,70
LEMONTREE.NS,2025-08-21,2025-09-26,156.9,165.62,254,2214.18,5.56,trail,70
SBICARD.NS,2025-09-11,2025-10-03,851.42,888.94,46,1725.85,4.41,timeout,78
NLCINDIA.NS,2025-09-11,2025-10-13,246.02,264.15,162,2938.17,7.37,trail,70
DEEPAKFERT.NS,2025-09-24,2025-10-14,1519.6,1421.59,26,-2548.37,-6.45,stop,78
SBFC.NS,2025-09-24,2025-10-14,111.0,105.39,360,-2017.98,-5.05,stop,78
CANFINHOME.NS,2025-10-06,2025-10-27,771.99,841.52,51,3545.93,9.01,timeout,90
NATIONALUM.NS,2025-10-06,2025-10-27,214.97,230.28,186,2848.67,7.12,timeout,68
CEATLTD.NS,2025-10-17,2025-10-27,3672.51,4039.45,10,3669.36,9.99,trail,78
KAJARIACER.NS,2025-10-14,2025-11-03,1253.38,1167.83,31,-2651.83,-6.83,stop,100
INTELLECT.NS,2025-10-28,2025-11-03,1038.0,1224.84,38,7099.93,18.0,target,70
BEML.NS,2025-10-16,2025-11-06,2234.57,2047.98,17,-3171.97,-8.35,stop,82
SCHNEIDER.NS,2025-10-28,2025-11-10,871.0,807.85,45,-2841.64,-7.25,stop,82
EMCURE.NS,2025-11-11,2025-11-12,1430.2,1324.01,27,-2867.19,-7.43,stop,70
WELCORP.NS,2025-10-28,2025-11-18,872.1,900.21,45,1264.8,3.22,timeout,78
NEULANDLAB.NS,2025-11-04,2025-11-24,17178.25,15997.25,2,-2362.01,-6.87,stop,78
CRAFTSMAN.NS,2025-11-04,2025-11-25,6791.71,7012.44,5,1103.65,3.25,timeout,100
REDINGTON.NS,2025-11-10,2025-12-01,282.79,276.09,141,-945.09,-2.37,timeout,67
CDSL.NS,2025-11-13,2025-12-03,1644.5,1536.78,24,-2585.15,-6.55,stop,78
HUDCO.NS,2025-11-19,2025-12-04,239.31,219.81,167,-3257.13,-8.15,stop,92
CEMPRO.NS,2025-12-02,2025-12-08,861.99,791.74,46,-3231.62,-8.15,stop,67
PTCIL.NS,2025-11-25,2025-12-16,17760.0,17534.0,2,-452.0,-1.27,timeout,78
ABCAPITAL.NS,2025-11-26,2025-12-17,346.95,346.8,115,-17.25,-0.04,timeout,78
JSWDULUX.NS,2025-12-04,2025-12-17,3505.39,3202.12,11,-3336.03,-8.65,stop,92
POLICYBZR.NS,2025-12-09,2025-12-17,1913.0,1802.52,20,-2209.51,-5.77,stop,90
PFOCUS.NS,2025-12-08,2025-12-30,188.0,241.86,212,11418.32,28.65,end_of_backtest,0
INDIACEM.NS,2025-12-22,2025-12-30,438.7,441.9,91,291.2,0.73,end_of_backtest,0
KEI.NS,2025-12-22,2025-12-30,4320.88,4347.35,9,238.22,0.61,end_of_backtest,0
SAILIFE.NS,2025-12-22,2025-12-30,914.0,910.35,43,-156.95,-0.4,end_of_backtest,0
LAURUSLABS.NS,2025-12-22,2025-12-30,1049.65,1090.81,38,1564.04,3.92,end_of_backtest,0
